,DATE,BASEL_pleasant_weather,BELGRADE_pleasant_weather,BUDAPEST_pleasant_weather,DEBILT_pleasant_weather,DUSSELDORF_pleasant_weather,HEATHROW_pleasant_weather,KASSEL_pleasant_weather,LJUBLJANA_pleasant_weather,MAASTRICHT_pleasant_weather,MADRID_pleasant_weather,MUNCHENB_pleasant_weather,OSLO_pleasant_weather,SONNBLICK_pleasant_weather,STOCKHOLM_pleasant_weather,VALENTIA_pleasant_weather
18504,2010-08-30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
18505,2010-08-31,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0
18506,2010-09-01,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
18507,2010-09-02,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
18508,2010-09-03,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
18509,2010-09-04,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0
18510,2010-09-05,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
18511,2010-09-06,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0
18512,2010-09-07,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
18513,2010-09-08,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
18514,2010-09-09,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
18515,2010-09-10,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
18516,2010-09-11,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
18517,2010-09-12,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0
18518,2010-09-13,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
18519,2010-09-14,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
18520,2010-09-15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
18521,2010-09-16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18522,2010-09-17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18523,2010-09-18,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
18524,2010-09-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18525,2010-09-20,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
18526,2010-09-21,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
18527,2010-09-22,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
18528,2010-09-23,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0
18529,2010-09-24,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
18530,2010-09-25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18531,2010-09-26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18532,2010-09-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18533,2010-09-28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18534,2010-09-29,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18535,2010-09-30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18536,2010-10-01,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18537,2010-10-02,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
18538,2010-10-03,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0
18539,2010-10-04,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
18540,2010-10-05,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
18541,2010-10-06,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
18542,2010-10-07,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
18543,2010-10-08,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
18544,2010-10-09,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
18545,2010-10-10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
18546,2010-10-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18547,2010-10-12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18548,2010-10-13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18549,2010-10-14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18550,2010-10-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18551,2010-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18552,2010-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18553,2010-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18554,2010-10-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18555,2010-10-20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18556,2010-10-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18557,2010-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18558,2010-10-23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18559,2010-10-24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18560,2010-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18561,2010-10-26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18562,2010-10-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18563,2010-10-28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18564,2010-10-29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18565,2010-10-30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18566,2010-10-31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18567,2010-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18568,2010-11-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18569,2010-11-03,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
18570,2010-11-04,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
18571,2010-11-05,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
18572,2010-11-06,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18573,2010-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18574,2010-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18575,2010-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18576,2010-11-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18577,2010-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
